"artifact","moduleUrl","moduleLicense","moduleLicenseUrl",
"com.amazonaws:aws-java-sdk-costandusagereport:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-costexplorer:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-datapipeline:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-dax:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-devicefarm:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-directconnect:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-directory:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-discovery:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-dms:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-dynamodb:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-ec2:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-ecr:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-ecs:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-efs:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-elasticache:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-elasticbeanstalk:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-elasticloadbalancing:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-elasticloadbalancingv2:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-elasticsearch:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-elastictranscoder:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-emr:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-events:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-fms:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-gamelift:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-glacier:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-glue:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-greengrass:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-guardduty:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-health:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-iam:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-importexport:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-inspector:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-iot:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-iotanalytics:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-iotjobsdataplane:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-kinesis:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-kinesisvideo:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-kms:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-lambda:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-lex:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-lexmodelbuilding:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-lightsail:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-logs:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-machinelearning:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-marketplacecommerceanalytics:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-marketplaceentitlement:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-marketplacemeteringservice:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-mechanicalturkrequester:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-mediaconvert:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-medialive:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-mediapackage:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-mediastore:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-mediastoredata:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-migrationhub:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-mobile:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-models:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-mq:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-opsworks:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-opsworkscm:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-organizations:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-pinpoint:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-polly:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-pricing:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-rds:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-redshift:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-rekognition:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-resourcegroups:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-resourcegroupstaggingapi:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-route53:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-s3:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-sagemaker:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-sagemakerruntime:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-secretsmanager:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-serverlessapplicationrepository:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-servermigration:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-servicecatalog:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-servicediscovery:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-ses:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-shield:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-simpledb:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-simpleworkflow:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-snowball:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-sns:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-sqs:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-ssm:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-stepfunctions:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-storagegateway:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-sts:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-support:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-swf-libraries:1.11.22","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-transcribe:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-translate:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-waf:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-workdocs:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-workmail:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-workspaces:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:aws-java-sdk-xray:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.amazonaws:jmespath-java:1.11.325","https://aws.amazon.com/sdkforjava","Apache License, Version 2.0","https://aws.amazon.com/apache2.0",
"com.atomikos:atomikos-util:4.0.4",,"Atomikos Multiple Licensing Scheme","http://www.atomikos.com/Main/WhichLicenseApplies",
"com.atomikos:transactions:4.0.4",,"Atomikos Multiple Licensing Scheme","http://www.atomikos.com/Main/WhichLicenseApplies",
"com.atomikos:transactions-api:4.0.4",,"Atomikos Multiple Licensing Scheme","http://www.atomikos.com/Main/WhichLicenseApplies",
"com.atomikos:transactions-hibernate4:4.0.4",,"Atomikos Multiple Licensing Scheme","http://www.atomikos.com/Main/WhichLicenseApplies",
"com.atomikos:transactions-jdbc:4.0.4",,"Atomikos Multiple Licensing Scheme","http://www.atomikos.com/Main/WhichLicenseApplies",
"com.atomikos:transactions-jta:4.0.4",,"Atomikos Multiple Licensing Scheme","http://www.atomikos.com/Main/WhichLicenseApplies",
"com.carrotsearch:hppc:0.7.1",,"The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",
"com.connx.jdbc:connxjdbc:12.4",,,,
"com.fasterxml:classmate:1.3.1","http://github.com/cowtowncoder/java-classmate","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",
"com.fasterxml:classmate:1.4.0","http://github.com/FasterXML/java-classmate","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",
"com.fasterxml.jackson.core:jackson-annotations:2.8.0","http://github.com/FasterXML/jackson","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",
"com.fasterxml.jackson.core:jackson-annotations:2.8.2","http://github.com/FasterXML/jackson","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",
"com.fasterxml.jackson.core:jackson-annotations:2.9.3","http://github.com/FasterXML/jackson","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",
